"page","top","left","src","ocr","matched"
"1","886","447","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-1_15.jpg","FIFA MOHAMMED AMOURA 9-5-2000 1 1,70m 1 61kg VFL WOLFSBURG (GER)",""
"1","887","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-1_3.jpg","FIFA KAI HAVERTZ 11-6-1999 | 1,93m | 82 kg ARSENAL FC (ENG)","GER 10"
"1","887","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-1_2.jpg","JONATHAN TAH 11-2-1996 1 94kg FC BAYERN MÜNCHEN (GER)","GER 3"
"1","887","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-1_16.jpg","PHILIPP MWENE 29-1-1994 1 1,70 m 1 66 kg",""
"2","56","27","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-2_14.jpg","'IFA WORLB cup 2026 SAFF SAUDI",""
"2","56","237","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-2_13.jpg","FIFA SAUDI SALEM ALDAWSARI 19-8-1991 1 1,nm 1 72kg","KSA 9"
"2","56","447","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-2_9.jpg","FIFA MOTEB ALHARBI 19-2-2000 1 1,73m 1 60 kg",""
"2","56","657","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-2_5.jpg","ABDULRAHMAN ALSANBI 3-2-2001 1 1 78kg AL-AHLI SAUDI FC (KSA)",""
"2","334","28","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-2_4.jpg","FIFA SAUDI ABDULRAHMAN ALOBUD 1-8-1995 1 174rn 1 70kg AL-ITTIHAD CLUB (KSA)",""
"2","334","237","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-2_2.jpg","ZIYAD ALJOHANI 11-11-2001 1 1,80111 1 76kg AL-AHU SAUDI",""
"2","334","447","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-2_11.jpg","SALEH ABU ALSHAMAT","KSA 10"
"2","334","657","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-2_6.jpg","HASSAN ALTAMBAKTI 9-2-1999 | 1.83tn 1 AL HILAL CLUB (KSA]","KSA 2"
"2","611","28","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-2_10.jpg","SAUDI NASSER ALDAWSARI 19-12-1998 1 1,78m 1 65kg AL HILAL SAUDI CLUB (KSA)","KSA 5"
"2","611","237","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-2_7.jpg","FIFA JEHAD THIKRI 214-2001 1 1 74kg","KSA 3"
"2","611","447","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-2_12.jpg","SALEH ALSHEHRI 1-11-1993 1 184m 75 kg AL-ITTIHAD","KSA 11"
"2","611","657","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-2_1.jpg","FIFA SAUD ABDULHAMID 18-7-1999 1 1 71kg RC LENS (FRA)","KSA 4"
"2","889","27","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-2_8.jpg","MARWAN ALSAHAFI 17-2-2004 1 1 68kg ROYAL ANTWERP FC (BEL)",""
"2","889","237","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-2_3.jpg","ABDULLAH ALKHAIBARI 16-8-1996 1 1,78m 1 68 kg AL-NASSR FC(KSA)","KSA 6"
"2","889","447","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-2_15.jpg","SA uci' MUSAB ALJUWAVR 20-6-2003 1 1,78m | 62 kg",""
"2","889","657","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-2_16.jpg","FIFA MOHAMED AMINE TOUGAI 22-1-2000 | 1,91 m 1 79 kg ESPERANCE SPORTIVE DE TUNIS (TUN)",""
"3","76","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-3_12.jpg","FIFA WORLD CUP 2026,",""
"3","76","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-3_14.jpg","HICHAM BOUDAOUI 23-9-1999 | L75m | 61 kg OGC NICE (FRA)",""
"3","76","447","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-3_13.jpg","FARES CHAIBI 28-11-2002 1 L83m 1 70kg EINTRACHT FRANKFURT (GER)",""
"3","77","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-3_8.jpg","ALEXIS GUENDOUZ 26-1-1996 | 1,91m 1 89kg MC ALGER","ALG 1"
"3","353","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-3_16.jpg","ISMAEL BENNACER 1-12-1997 1 70 kg",""
"3","353","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-3_10.jpg","ANIS HADJ MOUSSA 11-2-2002 1 1,76m 1 72kg FEVENOORD (NED)",""
"3","353","447","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-3_1.jpg","RAMIZ ZERROUKI 26-5-1998 1 1,83m 1 76 kg FC TWENTE (NED)",""
"3","354","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-3_11.jpg","BAGHDAD BOUNEDJAH 24-11-1991 1 1 78kg AL-SHAMAL SC (OATI","ALG 11"
"3","630","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-3_2.jpg","RAMY BENSEBAINI 16-4-1995 1 1,87111 1 85kg BORUSSIA DORTMUND (GER)","ALG 3"
"3","631","237","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-3_4.jpg","RIMAD MAHREZ 21-2-1991 | 1,79m | 67 kg AL-AHLI SAUDI FC (KSA)",""
"3","631","447","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-3_6.jpg","VOUCEF ATAL 17-5-1996 1 1,76rn 1 64kg AL SADDSC(OAT)",""
"3","631","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-3_9.jpg","AMINE GOUIRI 16-2-2000 1 1,80m 1 72kg OLYMPIOUE DE MARSEILLE (FRA)","ALG 9"
"3","907","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-3_5.jpg","BENRAHMA 10-8-1995 1 1 70 kg NEOM SC (KSA)",""
"3","907","237","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-3_7.jpg","AISSA MANDI 22-10-1991 1 1,84 m 1 78 kg Losc LILLE (FRA)","ALG 5"
"3","907","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-3_15.jpg","HOUSSEM AOUAR 30-6-1998 1 1 70kg AL-ITTIHAD CLUB (KSA)",""
"3","908","447","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-3_3.jpg","FIFA RAYAN AiT-NOURl 6-6-2001 1 1,80m 1 70 kg",""
"4","0","0","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-4-0-0.jpg","",""
"4","0","1","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-4-0-1.jpg","",""
"4","0","2","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-4-0-2.jpg","FIFA EMILIANO MARTÍNEZ 2-9-1992 1 1,95m 1 88 kg ASTON VILLA FC(ENG)","ARG 1"
"4","0","3","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-4-0-3.jpg","FIFA LIONEL MESSI 24-6-1987 1 1,70m 1 72kg INTER MIAMICFIUSA)","HOST CITY MIAMI"
"4","1","0","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-4-1-0.jpg","NICO GONZÁLEZ 8-4-1998 1 1 77kg ATLÉTICO DE MADRID (ESP)",""
"4","1","1","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-4-1-1.jpg","FIFA GIULIANO SIMEONE 18-12-2002 | 1,73m 1 75kg ATLÉTICO DE MADRID","ARG 10"
"4","1","2","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-4-1-2.jpg","JULIÁN ALVAREZ 31-1-2000 1 1 71kg","ARG 8"
"4","1","3","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-4-1-3.jpg","FIFA LAUTARO MARTÍNEZ 22-8-1997 | 1,74m 1 72kg FCINTERNAZIONALEMILANO(ITA)","ARG 11"
"4","2","0","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-4-2-0.jpg","FIFA FIFA' FRANCO MASTANTUONO 14-8-2007 1 | 73 kg REAL MADRID CF(ESP)",""
"4","2","1","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-4-2-1.jpg","FIFA FIFA ENZO FERNÁNDEZ 17-1-2001 1 1,78m 1 67kg CHELSEA FC","ARG 5"
"4","2","2","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-4-2-2.jpg","ALEXIS MAC ALLISTER 24-12-1998 1 176 m 1 72kg","ARG 6"
"4","2","3","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-4-2-3.jpg","NICO PAZ 8-9-2004 1 L85rn 1 74kg COMO 1907 (ITA)",""
"4","3","0","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-4-3-0.jpg","FIFA LEANDRO PAREDES 29-6-1994 1 1 75kg CLUB ATLÉTICO BOCA JUNIORS(ARG)",""
"4","3","1","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-4-3-1.jpg","FIFA RODRIGO DE PAUL 24-5-1994 1 1,80m 1 70kg INTER MIAMI CHUSA)","HOST CITY MIAMI"
"4","3","2","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-4-3-2.jpg","EXEQUIEL PALACIOS 5-10-1998 | 1.78tn | 69 kg BAYER LEVERKUSEN (GER)",""
"4","3","3","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-4-3-3.jpg","FIFA 121T12 CRISTIAN ROMERO 27-4-1998 1 L85m 1 79kg TOTTENHAM HOTSPUR FC (ENG)","ARG 3"
"5","60","31","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-5_1.jpg","LEONARDO BALERDI 26-1-1999 1 1,87m 1 85 kg NICOLÁS OTAMENDI 12-2-1988 1 1,83m 1 81kg PAZIXI NAHUEL MOLINA 64-1998 1 1,7511 1 70 kg ATLÉTICO DE MADRID NICOLÁS TAGLIAFICO 1 1,72rn 1 66 kg OLVMPIOUE LVONNAIS(FRA)","ARG 2"
"5","337","239","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-5_3.jpg","n CANADA RICHIE LARVEA 7-1-1995 1 1,75111 1 70kg TORONTO FC (CAN)","HOST CITY TORONTO"
"5","337","447","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-5_2.jpg","NIKO SIGUR 9-9-2003 1 1 68kg HNK HAJDUK SPLIT (CRO","CAN 8"
"5","337","656","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-5_6.jpg","MALIK TILLMAN 28-5-2002 1 1,87 m 1 86 kg BAYER 04 LEVERKUSEN (GER)","USA 8"
"5","612","31","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-5_4.jpg","VERRV MINA 23-9-1994 1 193m 1 90kg JOHAN MOJICA 21&1992 1 1 66 kg RCD MALLORCA DÁVINSON SÁNCHEZ 12-6-1996 1 Imm 1 81kg GALATASARAV A$ (TUR) JHON LUCUMi 26-6-1998 1 1,85rn 1 78 kg BOLOGNA FC 1909 (ITA)","COL 2"
"5","890","240","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-5_5.jpg","FIFA usa HAJI WRIGHT 27-3-1998 1 1,93111 1 90 kg COVENTRY CITY FC (ENG)",""
"5","890","449","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-5_7.jpg","FIFA DUMAR DIAKITÉ 20-12-2003 1,85rn 1 78 kg CERCLE BRUGGE KSV (BEL)",""
"5","890","657","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-5_8.jpg","EVANN GUESSAND 1-7-2001 1 1 79kg ASTON VILLA FC (ENG)","CIV 11"
"6","54","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-6_4.jpg","AIDEN O'NEILL 4-7-1998 1 1,78111 78kg NEW YORK CITY FC (USA)","AUS 8"
"6","54","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-6_11.jpg","FIFA JORDAN BOS 29-10-2002 1 1,80111 1 83kg FEYENOORD (NED)",""
"6","54","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-6_5.jpg","ALESSANDRO CIRCATI 10-10-2003 1 1,90m 1 84kg PARMA FC (ITAI",""
"6","54","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-6_12.jpg","FIFA KUSINI VENGI 15-1-1999 1 1,gom 1 90kg ABERDEEN FC(SCO)",""
"6","331","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-6_8.jpg","CRAIG GOODWIN 16-12-1991 1 180m 1 70kg ADELAIDE UNITED FC (AUS)",""
"6","331","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-6_13.jpg","LEWIS MILLER 24-8-2000 1 1,87 m 1 80 kg BLACKBURN ROVERSFC(ENG)","AUS 5"
"6","331","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-6_9.jpg","FIFA HARRY SOUTTAR 22-10-1998 1 1 90kg LEICESTER CITY FC (ENG)","AUS 2"
"6","331","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-6_3.jpg","NESTORV IRANKUNDA 9-2-2006 1 1,75m 1 74kg WATFORD FC (ENG)",""
"6","608","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-6_6.jpg","AZIZ BEHICH 16-12-1990 1 1,73m 1 68kg","AUS 3"
"6","608","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-6_10.jpg","JACKSON IRVINE 7-3-1993 1 1,89 m 1 85 kg FC ST. PAULI (GER)","AUS 6"
"6","608","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-6_7.jpg","CAMERON BURGESS 21-10-1995 1 1,94m 1 93 kg SWANSEA CITY AFC (WALI","AUS 4"
"6","608","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-6_1.jpg","MATHEW RVAN 8-4-1992 1 1,84 m 1 82 kg LEVANTE UD (ESPI",""
"6","884","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-6_2.jpg","MILOS DEGENEK 28-4-1994 1 1,87 m 1 82kg FK TSC BACKA TOPOLA (SRB)",""
"6","884","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-6_14.jpg","FIFA KEVIN PINA 27-1-1997 1,81m 1 80kg FC KRASNODAR (RUS)","CPV 6"
"6","884","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-6_15.jpg","GARRY RODRIGUES 27-11-1990 1 1,73m I nkg APOLLON UMASSOL FC","ESP 5"
"6","884","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-6_16.jpg","FIFA JEAN-PHILIPPE GBAMIN 25-9-1995 1 1,86m 1 83kg FC METZ (FM)",""
"7","45","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-7_12.jpg","FIF""ORLD OFB SEIT",""
"7","45","237","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-7_16.jpg","FIFA MICHAEL GREGORITSCH 18-4-1994 1 1,93m 1 85 kg FC AUGSBURG (GER) PARINI","AUT 11"
"7","45","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-7_10.jpg","0 CHRISTOPH BAUMGARTNER 1-8-1999 | 1,80m 1 77kg RB LEIPZIG (GER)","AUT 10"
"7","45","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-7_15.jpg","MARCEL SABITZER 17-3-1994 | 1,78111 | 78kg BORUSSIA DORTMUND (GER)","AUT 7"
"7","322","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-7_11.jpg","DAVID ALABA 24-6-1992 1 1 78kg REAL MADRID (ESP)","AUT 2"
"7","322","237","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-7_13.jpg","FIFA KEVIN DANSO 19-9-1998 1 1,90 m 1 85 kg TOTTENHAM HOTSPUR FC (ENGI","AUT 3"
"7","322","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-7_9.jpg","ALEXANDER SCHLAGER 1-2-1996 1 1,84 m 1 77kg FC RED BULL SALZBURG","AUT 1"
"7","322","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-7_8.jpg","FIFA 0 ALEXANDER PRASS 26-5-2001 1 1,82m 1 72 kg TSG 1899 HOFFENHEIM (GER)",""
"7","599","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-7_14.jpg","n 0 KONRAD LAIMER 27-5-1997 1 1,80m 1 75kg FC BAYERN MÜNCHEN (GER)","AUT 5"
"7","599","237","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-7_4.jpg","PHILIPP LIENHART 11-7-1996 | 1,89m 1 83kg SC (GER)","AUT 4"
"7","599","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-7_7.jpg","XAVER SCHLAGER 28-9-1997 1 1,74m 1 75kg RB LEIPZIG (GER)",""
"7","599","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-7_2.jpg","PATRICK PENTZ 2-1-1997 1 L83m 1 80kg (DEN)",""
"7","875","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-7_1.jpg","NICOLAS SEWALD 4-5-2001 1 1 80kg RB LEIPZIG (GER)",""
"7","875","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-7_5.jpg","FIFA ROMANO SCHMID 27-1-2000 1 1 65 kg SV WERDER BREMEN (GER)",""
"7","875","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-7_3.jpg","FIFA PATRICK WIMMER 30-5-2001 1 1,82m 1 77kg VFL WOLFSBURG (GER)",""
"7","875","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-7_6.jpg","STEFAN POSCH 14-5-1997 1 1,88 m 1 80 kg COMO 1907 (ITA)",""
"8","78","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-8_15.jpg","FIFA WORLD cup BELGIA FA.18",""
"8","78","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-8_16.jpg","HANS VANAKEN 24-8-1992 1 1 80kg (BEL)",""
"8","78","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-8_14.jpg","FIFA BRANDON MECHELE 28-1-1993 1 L90m | 81 kg CLUB BRUGGE KV (BEL)",""
"8","78","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-8_13.jpg","ARTHUR THEATE 25-5-2000 1 1 80kg EINTRACHT FRANKFURT (GER)","BEL 2"
"8","355","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-8_12.jpg","AMADOU ONANA 16-8-2001 | 1,95m 1 76kg ASTON VILLA FC (ENGI","BEL 7"
"8","355","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-8_11.jpg","ALEXIS SAELEMAEKERS 27-6-1999 1 L80m 1 72kg AC MILAN (ITA)",""
"8","355","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-8_10.jpg","ZENO DEBAST 24-10-2003 1 1 76 kg SPORTING cp (POR)",""
"8","355","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-8_9.jpg","YOURI TIELEMANS 7-5-1997 1 72kg","BEL 5"
"8","632","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-8_8.jpg","FIFA THOMAS MEUNIER 12-9-1991 1 1,91m 1 90 kg LOSC LILLE (FRA)",""
"8","632","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-8_7.jpg","ÃIMOTHV CASTAGNE 5-12-1995 1 1,85 m 1 80 kg FULHAM FC (ENG)",""
"8","632","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-8_6.jpg","ROMELU LUKAKU SSC NAPOLI (ITA)","BEL 11"
"8","632","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-8_4.jpg","MAXIM DE CUVPER 22-12-2000 1 1 72 kg BRIGHTON & HOVE ALBION FC (ENGI",""
"8","908","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-8_3.jpg","LOIS OPENDA 16-2-2000 1 L77rn 1 75kg JUVENTUS (ITA)",""
"8","908","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-8_5.jpg","NICOLAS RASKIN 23-2-2001 1 1,78m 1 75kg RANGERS FC (SCO)",""
"8","908","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-8_1.jpg","JÉRÉMV DOW 27-5-2002 | | 68 kg MANCHESTER CITV FC (ENG)",""
"8","908","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-8_2.jpg","FIFA KEVIN DE BRUYNE 28-6-1991 1 1,81 m 1 68 kg SSC NAPOLI (ITA)","BEL 6"
"9","78","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-9_13.jpg","",""
"9","78","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-9_10.jpg","AMIR HADZIAHMETOVIC 8-3-1997 1 1 71kg HULL CITY(ENG)",""
"9","78","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-9_11.jpg","FIFA BENJAMIN TAHIROVIC 3-3-2003 1 1,93111 1 77kg","BIH 6"
"9","78","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-9_9.jpg","AMAR MEMIC 20-1-2001 1 1,76m 1 72kg","BIH 11"
"9","355","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-9_12.jpg","EDIN DiEKO 17-3-1986 1 1 80kg FC SCHALKE (GER)",""
"9","355","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-9_8.jpg","TARIK MUHAREMOVIC 28-2-2003 | 1,82m 1 81kg US SASSUOLO CALCIO","BIH 4"
"9","355","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-9_7.jpg","SEAD KOLASINAC 20-6-1993 1 1,83111 1 82 kg ATALANTA","BIH 3"
"9","355","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-9_3.jpg","IVAN SUNJIC 9-10-1996 1 1 75 kg PAFOS FC (CYP)","BIH 7"
"9","632","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-9_6.jpg","SAMED BA*DAR 31-1-2004 1 1,86m 1 79kg JAGIELLONIA BIAEVSTOK (POL)",""
"9","632","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-9_5.jpg","FIFA KELME NIKOLA VASILJ 2-12-1995 1 1 85kg FC ST. PAULI (GER)","BIH 1"
"9","632","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-9_4.jpg","NIHAD MUJAKIC 15-4-1998 1 1,89111 1 82kg GAZIANTEP (TUR)",""
"9","632","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-9_2.jpg","KELME IVAN BASIC 30-4-2002 1 1 74kg FC ASTANA IKAZ)",""
